subject_id,radius_high_stimulation,radius_low_stimulation,delta_radius_stimulation,velocity_low,velocity_high,delta_velocity,inattention_low,inattention_high,delta_inattention
2,12.6171875,14.04296875,-1.42578125,0.000394996,0.000519916,-0.00012492,254.9461185,391.9700824,-137.0239639
3,10.140625,10.39453125,-0.25390625,0.002509309,0.001243225,0.001266084,532.070248,75.13804133,456.9322067
4,6.5,9.4375,-2.9375,0.00066607,0.000375261,0.000290809,194.0434607,444.3500935,-250.3066329
5,14.03125,9.55078125,4.48046875,0.000252243,0.000267671,-1.54E-05,193.223163,198.9038836,-5.680720589
6,2.3203125,0,2.3203125,,,,,1062.580537,
7,18.08984375,17.4296875,0.66015625,0.055948431,0.004438623,0.051509809,390.6804608,161.0291005,229.6513602
8,17.65234375,17.98046875,-0.328125,0.011097919,0.005474049,0.00562387,475.8349053,375.5476081,100.2872972
9,3.375,8.875,-5.5,0.000564812,0.00115424,-0.000589427,1083.715787,1092.298779,-8.58299219
10,5.15625,7.6953125,-2.5390625,0.000461604,0.000458726,2.88E-06,488.8558636,674.0140277,-185.1581642
11,11,14.42578125,-3.42578125,0.000712828,0.000166878,0.00054595,442.8584622,347.6129915,95.24547066
12,19.6328125,17.6953125,1.9375,0.00340664,0.001412126,0.001994515,218.4378608,504.4696912,-286.0318304
13,13.5546875,11.46484375,2.08984375,0.004008988,0.002304249,0.00170474,448.1592452,447.1084271,1.050818163
14,8.58203125,10.9140625,-2.33203125,0.000874929,0.000748177,0.000126752,699.2789496,505.9804207,193.2985289
15,11.0546875,9.87109375,1.18359375,0.020495273,0.128416201,-0.107920929,406.8128863,239.9980201,166.8148661
16,15.91015625,12.5703125,3.33984375,0.012204472,0.000419012,0.011785461,349.8475559,318.7691661,31.0783898
17,19.62109375,19.33984375,0.28125,0.002273281,0.001005747,0.001267533,247.5691748,535.3728963,-287.8037214
18,23.45703125,23.48828125,-0.03125,0.001003427,0.001415921,-0.000412494,95.60620112,166.8666412,-71.26044004
19,13.43359375,8.9609375,4.47265625,0.000523294,0.008441876,-0.007918582,446.2897152,157.012525,289.2771903
20,12.89453125,17.38671875,-4.4921875,0.00047598,0.00146925,-0.00099327,899.4850447,302.3711463,597.1138984
21,8.15625,7.46484375,0.69140625,0.000302073,0.000598985,-0.000296912,564.5626829,686.2238238,-121.6611409
22,14.74609375,14.18359375,0.5625,0.009801982,0.001204959,0.008597023,238.1514226,132.7167593,105.4346633
23,4.546875,5.27734375,-0.73046875,4.73E-05,0.001134331,-0.001087039,82.1170187,234.9587951,-152.8417764
24,7.8125,6.3828125,1.4296875,0.001044516,0.000898326,0.00014619,237.2292812,54.93592846,182.2933527
25,3.90234375,6.41015625,-2.5078125,0.001854893,0.00038336,0.001471532,439.3086295,563.032446,-123.7238165
26,0.84375,0.421875,0.421875,,,,,1079.45865,
27,4.22265625,4.4609375,-0.23828125,0.014984471,7.55E-05,0.014908987,374.2012158,670.1887668,-295.987551
28,3.5078125,5.875,-2.3671875,0.017436936,0.076453234,-0.059016298,101.4834535,98.95227277,2.531180709
29,4.015625,3.8359375,0.1796875,0.001358282,0.074869897,-0.073511615,337.3376037,560.3074757,-222.9698719
30,5.1953125,2.7890625,2.40625,0.000991788,0.000667419,0.00032437,270.3300047,570.7069627,-300.376958
31,21.4765625,22.93359375,-1.45703125,0.001970462,0.007216595,-0.005246133,283.3312596,168.4921052,114.8391545
32,14.97265625,10.625,4.34765625,0.000672163,0.000942829,-0.000270666,305.0131937,196.8304748,108.1827189
33,14.40625,11.52734375,2.87890625,0.000284462,0.000788045,-0.000503583,229.7656502,468.1711036,-238.4054534
34,9.6484375,7.82421875,1.82421875,0.013283678,0.00428321,0.009000468,404.439216,152.3325441,252.1066719
35,12.59765625,10.84765625,1.75,0.000956565,0.000320999,0.000635566,326.4417289,474.2402442,-147.7985153
36,18.4296875,17.24609375,1.18359375,0.000936278,0.001743671,-0.000807394,464.9384712,732.4256708,-267.4871996
